ACTION_TAKEN,CALL_DATE,CALL_FROM,CALL_TIME,Category,Message search terms,Sub Category,Sum of Incidents,Sum of Vehicle Delay Time,Measure Param,DIRECTION,DISPATCHER_ID,DIVISION,GEOGRAPHIC_LOCATION_MODIFIED,LINE (group) 1,LINE (group),LINE,LINE_DELAY,LINE_DELAY_TIME_END,LINE_DELAY_TIME_START,Location,LOCATION_ORIGINAL,Incident Location,Message,NO_RETURN,Number of Records,OPERATOR_ID,RUN,RUN_LINE,SENT_TO,STREET_A,STREET_B,STREET_C,STREET_D,Subcategory,Security Incident Type,TAG_ID,TIMEOUT,Date,TIME_OF_INCIDENT,VEHICLE,VEHICLE_DELAY_TIME_END,VEHICLE_DELAY_TIME_START,VEHICLE_NEW,VEHICLE_NEW_NUM_1,VEHICLE_NEW_NUM_2,VEH_DELAY,VIA,Veh_Delay_Time (copy),Vehicle Delay Minutes per Incident
"INSPECTOR 1C13B  SKINNER NOTIFIED AT 1842  HRS. RESPONDED AND CLEARED AT  1905  HRS. OPERATOR RENDERED AID TO INTOXICATED PASSENGER.
741 CAD #200143409 NOTIFIED  AT 1834 HRS.  ENGINE 16 RESPONDED. MEDIC #71 RESPONDED AND TRANSPORTED PASSENGER TO ST FRANCES HOSPITAL. 
MOBILE CREW 148 NOTIFIED AT 1843 HRS. RESPONDED AND CLEARED AT 1912 HRS.
NO 799
5M5*,VIDEO*,S/SAFETY*, CLAIMS 6A429 ALL NOTIFIED.",1/14/2020,OPERATOR,18:30,Passenger Incident,0,Intoxicated Passenger,1,35,1,    IB,96,PO,FILLMORE ##### BAY,22,22,22,00:00 - 00:00,,,FILLMORE & BAY ST,,FILLMORE & BAY ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,5349,389,389 / 22,POTRERO,FILLMORE,BAY,%FILLMORE%,%BAY%,Intoxicated Passenger,Other,1676324,0:00,1/14/2020,1/14/2020 18:30,5718,1/14/2020 19:05,1/14/2020 18:30,,,,18:30 - 19:05,R,35,35
"911 NOTIFIED CAD#23741, 5T83-JONES,A. RESPONDED AND CLEARED AT 2325. 5M5-DENNIS,E. VIDEO,S/S,CLAIMS6A-46 ALL NOTIFIED. MED#74 AND ENGINE#15 RESPONDED. PASSENGER REFUSED AID. UNITS STOOD BY UNTIL A CAB ARRIVED FOR THE PASSENGER. COACH BACK IN SERVICE. NO 799.",1/12/2020,OPERATOR,23:00,Passenger Incident,0,Intoxicated Passenger,1,25,1,    IB,19,FL,CITY COLLEGE ##### PHELAN,49,49,49,00:00 - 00:00,,,CITY COLLEGE & PHELAN AVE.,,CITY COLLEGE & PHELAN AVE.,PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED PASSENGER,N,1,5449,520,520 / 49,,CITY COLLEGE,PHELAN,,,Intoxicated Passenger,Other,1676115,0:00,1/12/2020,1/12/2020 23:00,6683,1/12/2020 23:25,1/12/2020 23:00,,,,23:00 - 23:25,R,25,25
"740 NOTIFIED AT 0200 HRS CAD #200120252
PASSENGER LEFT COACH BEFORE POLICE ARRIVED.
OPERATOR TOLD TO FILL OUT INCIDENT REPORT 
COACH BACK IN SERVICE NO 799 NO INJURY.
VIDEO REQUEST SENT TO DIVISION SUPERINTENDENT.",1/12/2020,OPERATOR,1:58,Passenger Incident,0,Intoxicated Passenger,1,42,1,    IB,19,PO,STEUART ##### MISSION,14,14,14,00:00 - 00:00,,,STEUART & MISSION ST,,STEUART & MISSION ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5959,477,477 / 14,,STEUART,MISSION,%STEUART%,%MISSION%,Intoxicated Passenger,Other,1676065,0:00,1/12/2020,1/12/2020 1:58,5744,1/12/2020 2:40,1/12/2020 1:58,,,,01:58 - 02:40,R,42,42
INSPECTOR 5T66A MEDEL RESPONDED AND CLEARED. SFPD CAD #200110696 UNIT 3E6A RESPONDED AND CLEARED. NO ARRESTS MADE. MOBILE UNIT 531 RESPONDED AND CLEARED. VIDEO AND S/S NOTIFIED. NO 799.,1/11/2020,OPERATOR,7:42,Passenger Incident,0,Intoxicated Passenger,1,48,1,    OB,6,PR,JACKSON ##### WEBSTER,24,24,24,00:00 - 00:00,,,JACKSON & WEBSTER,,JACKSON & WEBSTER,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4923,30,30 / 24,,JACKSON,WEBSTER,%JACKSON%,%WEBSTER%,Intoxicated Passenger,Other,1675979,0:00,1/11/2020,1/11/2020 7:42,5843,1/11/2020 8:30,1/11/2020 7:42,,,,07:42 - 08:30,R,48,48
"INSP. YEE 5T65A RESPONDED AND CLEARED. SFFD CAD #200101467, ENGINE #44, MEDIC #76 TRANSPORTED TO SFGH. COACH WAS IN NORMAL OPERATION. NO 799. 5M11 CONTREARAS, 5M12 MARCIC (VM), VIDEO, CLAIM 6A51, S/S 2E11 AT 1137 NOTIFIED. COACH SENT INTO WOOD DUE TO BLOOD ON THE COACH. NEW COACH 8651 BACK IN SERVICE 1247 HRS.",1/10/2020,OPERATOR,11:21,Passenger Incident,0,Intoxicated Passenger,1,28,1,    OB,7,WO,TALBERT ##### SUNNYDALE,9,9,9,00:00 - 00:00,,,TALBERT & SUNNYDALE ,,TALBERT & SUNNYDALE ,PASSENGER INCIDENT - INTOXICATED PASSENGER  FALL ON BOARD WITH INJURY. BLEEDING FROM FACE / HEAD. ,N,1,2416,16,16 / 9,WOODS,TALBERT,SUNNYDALE,%TALBERT%,%SUNNYDALE%,Intoxicated Passenger,Other,1675944,12:47,1/10/2020,1/10/2020 11:21,8860,1/10/2020 11:49,1/10/2020 11:21,8651,8651,,11:21 - 11:49,R,28,28
"INSPECTOR 5T61B MCDANIELS NOTIFIED AT 1705 HRS. CANCELLED AT 1709 HRS.
740* CAD #72892 NOTIFIED  AT 1658  HRS. SFPD UNIT 33B12D RESPONDED AND ESCORTED PASSENGER OF THE COACH.  OPERATOR ADVISED TO FILL OUT INCIDENT REPORT.
COACH BACK IN SERVICE
NO INJURY NO 799 VIDEO REQUEST PULLED AND SENT TO DIVISION SUPERINTENDENT.",1/7/2020,OPERATOR,16:58,Passenger Incident,0,Intoxicated Passenger,1,11,1,    IB,42,IC,3RD##### STILLMAN,8,8,8,00:00 - 00:00,,,3RD ST & STILLMAN,,3RD ST & STILLMAN,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5114,298,298 / 8,,3RD,STILLMAN,%3RD%,%STILLMAN%,Intoxicated Passenger,Other,1675621,0:00,1/7/2020,1/7/2020 16:58,6515,1/7/2020 17:09,1/7/2020 16:58,,,,16:58 - 17:09,R,11,11
"OPERATOR CLEARED.  NO SERVICE DELAY.  NO 799.  VIDEO*, SYSTEM SAFETY*, CLAIMS 6-A-51*",1/6/2020,OPERATOR,12:03,Passenger Incident,0,Intoxicated Passenger,1,0,1,    IB,60,FL,OFARRELL ##### JONES,38,Other,38R,00:00 - 00:00,,,OFARRELL & JONES,,OFARRELL & JONES,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2774,406,406 / 38R,,OFARRELL,JONES,%OFARRELL%,%JONES%,Intoxicated Passenger,Other,1675507,0:00,1/6/2020,1/6/2020 12:03,6652,1/6/2020 12:03,1/6/2020 12:03,,,,12:03 - 12:03,R,0,0
740 NOTIFIED 510 HRS & RESPONDED. CAD # 50506. POLICE UNIT A71A RESPONDED. CLEARED AND BACK IN SERVICE 0522 HRS. NO 799.,1/5/2020,OPERATOR,5:09,Passenger Incident,0,Intoxicated Passenger,1,13,1,    IB,7,WO,MARKET ##### NEW MONTGOMERY,KOWL,Other,KOWL,00:00 - 00:00,,,MARKET & NEW MONTGOMERY,,MARKET & NEW MONTGOMERY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5516,320,320 / KOWL,,MARKET,NEW MONTGOMERY,%MARKET%,%NEW%MONTGOMERY%,Intoxicated Passenger,Other,1675356,0:00,1/5/2020,1/5/2020 5:09,8620,1/5/2020 5:22,1/5/2020 5:09,,,,05:09 - 05:22,R,13,13
"5T83 INSP A JONES AND SFFD MEDIC KING AMERICAN 7   ENGINE  28   CAD # 43899 BOTH RESPONDED . PASSENGER TRANSPORTED  TO SFGH / NO  799  OP BACK IN SERVICE WITH ORDER FROM INSPECTOR / VIDEO , SYSTEM SAFETY  AND 6A42 AND 5M18  ALL NOTIFIED ",1/4/2020,OPERATOR,23:50,Passenger Incident,0,Intoxicated Passenger,1,27,1,    OB,43,FL,VAN NESS ##### NORTH POINT,49,49,49,00:00 - 00:00,,,VAN NESS  & NORTH POINT ,,VAN NESS  & NORTH POINT ,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5316,532,532 / 49,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1675378,0:00,1/4/2020,1/4/2020 23:50,6724,1/6/2020 0:22,1/5/2020 23:55,,,,23:55 - 00:22,R,27,27
"INSPECTOR 1C18 (GAMEZ,J) RESPONDED AND CLEARED 911 CAD # 2000427823
SFFD MEDIC 59 RESPONDED AND CLEARED, PASSENGER TRANSPORTED TO SAINT MARYS FOR MINOR INJURIES 
5M 13 WOON.W VIDEO, S/S, 6A42 ALL NOTIFIED 5T-61MCDANIEL,A TRANSPORTED RESCUE OPERATOR # 5292 TO PULL COACH IN END OF RUN
OPERATOR TO 799 TEST ",1/4/2020,OPERATOR,17:52,Passenger Incident,0,Intoxicated Passenger,1,123,1,    OB,90,FL,GEARY ##### ARGUELLO,38,38,38,00:00 - 00:00,,,GEARY & ARGUELLO,,ARGUELLO BLVD & GEARY BLVD,PASSENGER INCIDENT - INTOXICATED PASSENGER  FALL ON BOARD INJURY TO BACK OF HEAD MINOR BLEEDING,N,1,6154,500,500 / 38,,GEARY,ARGUELLO,%GEARY%,%ARGUELLO%,Intoxicated Passenger,Other,1675371,0:00,1/4/2020,1/4/2020 17:52,6713,1/4/2020 19:55,1/4/2020 17:52,,,,17:52 - 19:55,R,123,123
"INSP. 4C-95 RESP, SFPD RESP, NO ARREST",1/3/2020,INSP. 4C-95,21:45,Passenger Incident,0,Intoxicated Passenger,1,,1,,88, ,MONTGOMERY STATION,NA,Other,NA,00:00 - 00:00,,,MONTGOMERY STATION & PLATFORM,,MONTGOMERY STATION & PLATFORM,PASSENGER INCIDENT - INTOXICATED PASSENGER  SMOKING ON PLATFROM,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1675275,0:00,1/3/2020,1/3/2020 21:45,,1/4/2020 22:27,,,,,00:00 - 22:27,R,,
"INSP. 4C-95 RESP, POWELL STATION AGENT RESP, SFPD 12E RESP, SFFD ENG 1 RESP, NO ARREST, NO TRANSPORT",1/3/2020,POWELL AGENT,22:38,Passenger Incident,0,Intoxicated Passenger,1,,1,,88, ,POWELL STATION,NA,Other,NA,00:00 - 00:00,,,POWELL STATION  & PLATFORM,,POWELL STATION  & PLATFORM,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1675274,0:00,1/3/2020,1/3/2020 22:38,,1/4/2020 0:42,,,,,00:00 - 00:42,T,,
"5T83 INSP UPCHURCH & SFPD  UNIT 3B11E BOTH   RESPONDED AND REMOVE PASSENGER CAD # 000020068 RESPONDED/ 5M2 MNGER DEVON ,VIDEO  AND 6A4 ALL  NOTIFIED / NO  799 ",1/2/2020,OPERATOR,0:40,Passenger Incident,0,Intoxicated Passenger,1,67,1,    OB,43,PO,STEUART ##### MISSION,14,14,14,00:00 - 00:00,,,STEUART & MISSION ,,STEUART & MISSION ,PASSENGER INCIDENT - INTOXICATED PASSENGER  /SLEEPER ,N,1,4724,463,463 / 14,,STEUART,MISSION,%STEUART%,%MISSION%,Intoxicated Passenger,Other,1674913,0:00,1/2/2020,1/2/2020 0:40,7293,1/2/2020 1:56,1/2/2020 0:49,,,,00:49 - 01:56,R,67,67
"INSP 5T65B NICHOL RESPONDED AND CLEARED AT 1705. MEDIC #55 RESPONDED AND TRANSPORTED PASSENGER TO ST LUKES HOSPITAL.ENGINE #11 RESPONDED. EMS SUPERVISOR #6 RESPONDED. CAD#2724. NO 799. COACH BACK IN SERVICE. MGR M. MARCIC*, VIDEO*, SYSTEM SAFETY*,CLAIMS 6-A-46*",1/2/2020,OPERATOR,16:26,Passenger Incident,0,Intoxicated Passenger,1,39,1,    OB,60,PO,MISSION ##### 24TH,14R,Other,14R,00:00 - 00:00,,,MISSION & 24TH STREET,,24TH ST & MISSION ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,6093,499,499 / 14R,,MISSION,24TH,%MISSION%,%24TH%,Intoxicated Passenger,Other,1675021,0:00,1/2/2020,1/2/2020 16:26,6657,1/2/2020 17:05,1/2/2020 16:26,,,,16:26 - 17:05,R,39,39
OPERATOR REPORTED SFPD UNIT #3159C REMOVED INTOXICATED PASSENGER AND CONTINUED IN SERVICE. OPERATOR INSTRUCTED TO TURN IN A REPORT. VIDEO PULLED. ,1/2/2020,OPERATOR,11:33,Passenger Incident,0,Intoxicated Passenger,1,2,1,    OB,12,PR,MARKET ##### 7TH,21,21,21,00:00 - 00:00,,,MARKET  & 7TH AVE ,,MARKET  & 7TH AVE ,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4360,27,27 / 21,,MARKET,7TH,%MARKET%,%7TH%,Intoxicated Passenger,Other,1674998,0:00,1/2/2020,1/2/2020 11:33,5833,1/2/2020 11:35,1/2/2020 11:33,,,,11:33 - 11:35,R,2,2
" 5T83 INSP UPCHURCH  , DALY CITY PD  MEDIC , VIDEO , SYSTEM SAFETY AND CLAIMS 6A46 ALL NOTIFIED / MEDIC 73 AND ENGINE 92 RESPONDED AND TRANSPORTED FEMALE PASENGER TO SETON  FOR SOBERING / OP WILL FILL UP INCIDENT REPORT AT THE END OF THE SHIFT ",1/2/2020,OPERATOR,22:14,Passenger Incident,0,Intoxicated Passenger,1,15,1,    IB,43,PO,MISSION ##### SAN JOSE,14,14,14,00:00 - 00:00,,,MISSION & SAN JOSE,,MISSION & SAN JOSE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4979,451,451 / 14,,MISSION,SAN JOSE,,,Intoxicated Passenger,Other,1675055,0:00,1/2/2020,1/2/2020 22:14,7247,1/2/2020 22:34,1/2/2020 22:19,,,,22:19 - 22:34,R,15,15
ENGINE 55 RESPONDED AND TRANSPORTED PASSENGER TO UNKNOWN LOCATION.  NO 799.,1/1/2020,OPERATOR,18:21,Passenger Incident,0,Intoxicated Passenger,1,34,1,    OB,60,WO,GALVEZ ##### INNES,19,19,19,00:00 - 00:00,,,GALVEZ & INNES,,GALVEZ & INNES,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4859,174,174 / 19,,GALVEZ,INNES,,,Intoxicated Passenger,Other,1674943,0:00,1/1/2020,1/1/2020 18:21,8878,1/1/2020 18:55,1/1/2020 18:21,,,,18:21 - 18:55,R,34,34
"WEST PORTAL AGENT AND 5T67B RESPONDED. SFFD ENG 39 RESPONDED, MEDIC 68 TRANSPORTED PATRON TO UCSF. NO 799",1/1/2020,5T67B,22:11,Passenger Incident,0,Intoxicated Passenger,1,14,1,    OB,88, ,WEST PORTAL STATION,NA,Other,NA,00:00 - 00:00,,,WEST PORTAL STATION,,WEST PORTAL STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  NO DELAY TO SERVICE,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1674953,0:00,1/1/2020,1/1/2020 22:11,,1/2/2020 22:25,1/2/2020 22:11,,,,22:11 - 22:25,T,14,14
